district,presidential,parliamentary
KATAKWI,2108,193
HOIMA,22635,2012
BUSIA,45166,5089
BUDAKA,27281,1052
NAKASONGOLA,18213,11003
MBARARA,17248,3324
SERERE,6013,475
SOROTI,9180,233
NGORA,2237,55
MUBENDE,40980,17912
LWENGO,50583,13210
KIBOGA,23764,16315
BUTALEJA,29037,1243
BUTEBO,10890,841
PADER,8292,300
MAYUGE,62938,13768
KAKUMIRO,10903,1272
BUKOMANSIMBI,32155,18817
BUDUDA,14666,10192
KANUNGU,6722,321
GOMBA,29017,23504
WAKISO,425002,301413
AMURU,7466,360
MBALE,71202,11203
KALIRO,27032,158
NWOYA,5732,449
BUVUMA,13572,2486
KYOTERA,36142,14069
OMORO,7718,452
AMURIA,3380,1175
KASESE,102384,5267
YUMBE,16890,2602
BUSHENYI,10937,539
BUGIRI,49475,12225
KIBUKU,23624,3897
NAMAYINGO,27651,6118
TORORO,54556,2145
NAMUTUMBA,27504,4983
LUUKA,31842,1620
RWAMPARA,3710,412
KISORO,7241,202
KUMI,2105,267
OTUKE,4949,195
KASSANDA,44990,33682
NAKASEKE,32063,9298
AMOLATAR,7185,227
MASAKA,71509,52482
MITYANA,72955,57318
RUBANDA,5735,19
LIRA,35588,397
NAMISINDWA,12780,4534
BUNDIBUGYO,18076,1571
ARUA,53179,9648
ISINGIRO,8769,1030
MPIGI,60815,33865
MASINDI,20879,1382
AGAGO,10559,72
DOKOLO,15364,706
BUYENDE,30252,2016
BUKEDEA,4980,617
KIRYANDONGO,13893,1882
KYANKWANZI,24529,10269
NEBBI,15421,752
KYENJOJO,15158,1373
MUKONO,134591,81966
KALUNGU,40578,25894
RAKAI,46257,9300
PALLISA,16362,543
BUTAMBALA,26806,24070
KAMULI,65774,15777
BUGWERI,25939,2624
SHEEMA,8851,123
IGANGA,54712,8813
KALANGALA,13121,2317
KAMPALA,391787,274862
SIRONKO,28900,1934
KAYUNGA,64172,25370
MANAFWA,13740,1157
LAMWO,8621,628
MADI OKOLLO,7611,450
SSEMBABULE,33524,14054
JINJA,80767,16972
GULU,9764,3006
MARACHA,10127,2188
KAGADI,15758,633
LUWEERO,103782,67763
BUIKWE,81852,30977
